"co_prod"|"cod_parent"|"Nombre"|"presentacion"|"cont_rec"|"tipo_cont"|"dosis"|"cant_comp"|"cod_isp"|"vigencia"|"droga"|"grupo"|"temp"
1|0|"1er SHAMPOO Shampoo"||1|7|0|0|"'NULL'"|1|"(Sin Informaci�n)"|"Sin Info"|6
2|1||"200 ml"|1|7|135|6|"'NULL'"|1|"(Sin Informaci�n)"||6
3|0|"1era LECHE HIDRATANTE"||1|7|0|0|"'NULL'"|1|"(Sin Informaci�n)"|"Sin Info"|6
4|3||"400 ml"|1|7|135|6|"'NULL'"|1|"(Sin Informaci�n)"||6
5|0|"3-A OFTENO sol. oft�lmica"||1|6|0|0|"'NULL'"|1|"(Diclofenaco S�dico)"|145|2
6|5||"5 ml �(1 mg/ml)"|1|6|142|6|"'NULL'"|1|"(Diclofenaco S�dico)"||2
7|0|"AB"||1|7|0|0|"'NULL'"|1|"(Clorhexidina)"|186|1
8|7||"12 comp."|1|7|1|1|"'NULL'"|1|"(Clorhexidina)"||1
9|0|"AB ANTITUSIVO"||1|7|0|0|"'NULL'"|1|"(Clorhexidina//Noscapina)"|0|1
10|9||"12 comp."|1|7|1|1|"'NULL'"|1|"(Clorhexidina//Noscapina)"||1
11|0|"ABACTEN jarabe"||1|6|0|0|"'NULL'"|1|"(Azitromicina)"|78|1
12|11||"15 ml"|1|6|35|6|"'NULL'"|1|"(Azitromicina)"||1
13|11||"30 ml"|1|6|35|6|"'NULL'"|1|"(Azitromicina)"||1
14|0|"ABACTEN FORTE jarabe"||1|6|0|0|"'NULL'"|1|"(Azitromicina)"|78|1
15|14||"20 ml"|1|6|35|6|"'NULL'"|1|"(Azitromicina)"||1
16|14||"40 ml"|1|6|35|6|"'NULL'"|1|"(Azitromicina)"||1
17|0|"ACICLOVIR �3% �ung. oft�lmico"||1|6|0|0|"'NULL'"|1|"(Aciclovir)"|7|3
18|17||"3.5 gr"|1|6|150|1|"'NULL'"|1|"(Aciclovir)"||3
19|0|"ABECIDIN A C D"||1|6|0|0|"'NULL'"|1|"(Vitaminas A C D)"|570|1
20|19||"30 ml"|1|6|55|6|"'NULL'"|1|"(Vitaminas A C D)"||1
21|0|"ABETAL ODT 40 mg comp."||1|6|0|0|"'NULL'"|1|"(Eletriptan)"|176|2
22|21||"2 comp."|1|6|1|1|"'NULL'"|1|"(Eletript�n)"||2
23|21||"6 comp."|1|6|1|1|"'NULL'"|1|"(Eletript�n)"||2
24|0|"MIGTAL 2.5 mg comp."||1|6|0|0|"'NULL'"|1|"(Naratript�n)"|0|3
25|24||"2 comp."|1|6|1|1|"'NULL'"|1|"(Naratript�n)"||3
26|24||"6 comp."|1|6|1|1|"'NULL'"|1|"(Naratript�n)"||3
27|24||"12 comp."|1|6|1|1|"'NULL'"|1|"(Naratript�n)"||3
28|0|"ABRAXANE"||1|6|0|0|"'NULL'"|1|"(Paclitaxel)"|435|2
29|28||"1 fco-amp"|1|6|105|29|"'NULL'"|1|"(Paclitaxel)"||2
30|0|"ABALEA comp. 50 mg"||1|6|0|0|"'NULL'"|1|"(Benznidazol)"|0|2
31|30||"30 comp."|1|6|1|1|"'NULL'"|1|"(Benznidazol)"||2
32|0|"ABALEA comp. 100 mg"||1|6|0|0|"'NULL'"|1|"(Benznidazol)"|0|2
33|32||"30 comp."|1|6|1|1|"'NULL'"|1|"(Benznidazol)"||2
34|0|"ABRETIA 25"||1|6|0|0|"'NULL'"|1|"(Atomoxetina)"|70|2
35|34||"28 c�ps"|1|6|17|1|"'NULL'"|1|"(Atomoxetina)"||2
36|0|"ABATERO �250 mg"||1|6|0|0|"'NULL'"|1|"(Abiraterona)"|3|1
37|36||"120 comp."|1|6|1|1|"'NULL'"|1|"(Abiraterona)"||1
38|0|"ABETAL �40 mg"||1|6|0|0|"'NULL'"|1|"(Eletriptan)"|176|2
39|38||"6 comp."|1|6|1|1|"'NULL'"|1|"(Eletript�n)"||2
40|0|"ABRILAR jarabe"||1|7|0|0|"'NULL'"|1|"(Hedera Helix)"|277|1
41|40||"100 ml"|1|7|35|6|"'NULL'"|1|"(Hedera Helix)"||1
42|0|"AC FORTE jarabe"||1|5|0|0|"'NULL'"|1|"(Code�na Fosfato//Pseudoefedrina//Clorfenamina)"|0|1
43|42||"120 ml"|1|5|35|6|"'NULL'"|1|"(Code�na Fosfato//Pseudoefedrina//Clorfenamina)"||1
44|0|"AC INFANTIL jarabe"||1|5|0|0|"'NULL'"|1|"(Code�na Fosfato//Pseudoefedrina//Clorfenamina)"|0|1
45|44||"120 ml"|1|5|35|6|"'NULL'"|1|"(Code�na Fosfato//Pseudoefedrina//Clorfenamina)"||1
46|0|"ACAMOL INFANTIL suposit."||1|7|0|0|"'NULL'"|1|"(Paracetamol)"|439|1
47|46||"6 supositorios"|1|7|67|1|"'NULL'"|1|"(Paracetamol)"||1
48|0|"ACANTEX"||1|4|0|0|"'NULL'"|1|"(Ceftriaxona)"|136|2
49|48||"I.M.1 fco-amp �"|1|4|105|29|"'NULL'"|1|"(Ceftriaxona)"||2
50|48||"I.V. 1 fco-amp"|1|4|105|29|"'NULL'"|1|"(Ceftriaxona)"||2
51|0|"ACCU-CHEK"||1|7|0|0|"'NULL'"|1|"(Cintas Y Aparatos de Diagn�stico))"|0|6
52|51||"25 cintas"|1|7|169|1|"'NULL'"|1|"(Cintas Y Aparatos De Diagn�stico))"||6
53|51||"50 cintas"|1|7|169|1|"'NULL'"|1|"(Cintas Y Aparatos De Diagn�stico))"||6
54|51||"kit completo"|1|7|169|1|"'NULL'"|1|"(Cintas Y Aparatos De Diagn�stico))"||6
55|51||"102 lancetas"|1|7|171|1|"'NULL'"|1|"(Cintas Y Aparatos De Diagn�stico))"||6
56|51||"50 lancetas"|1|7|171|1|"'NULL'"|1|"(Cintas Y Aparatos De Diagn�stico))"||6
57|51||"200 lancetas"|1|7|171|1|"'NULL'"|1|"(Cintas Y Aparatos De Diagn�stico))"||6
58|0|"ACCUPRIL 10"||1|6|0|0|"'NULL'"|1|"(Quinapril)"|0|2
59|58||"28 comp."|1|6|1|1|"'NULL'"|1|"(Quinapril)"||2
60|0|"ACCUPRIL 20"||1|6|0|0|"'NULL'"|1|"(Quinapril)"|0|2
61|60||"28 comp."|1|6|1|1|"'NULL'"|1|"(Quinapril)"||2
62|0|"ACCURETIC"||1|6|0|0|"'NULL'"|1|"(Quinapril//Hidroclorotiazida)"|0|1
63|62||"7 comp."|1|6|1|1|"'NULL'"|1|"(Quinapril//Hidroclorotiazida)"||1
64|62||"14 comp."|1|6|1|1|"'NULL'"|1|"(Quinapril//Hidroclorotiazida)"||1
65|62||"28 comp."|1|6|1|1|"'NULL'"|1|"(Quinapril//Hidroclorotiazida)"||1
66|0|"ACCUTREND COLESTEROL"||1|7|0|0|"'NULL'"|1|"(Cintas)"|0|6
67|66||"25 cintas"|1|7|169|1|"'NULL'"|1|"(Cintas)"||6
68|0|"ACCUTREND GLICEMIA"||1|7|0|0|"'NULL'"|1|"(Cintas)"|0|6
69|68||"25 cintas"|1|7|169|1|"'NULL'"|1|"(Cintas)"||6
70|0|"ACCUTREND LACTATO"||1|7|0|0|"'NULL'"|1|"(Cintas)"|0|6
71|70||"25 cintas"|1|7|169|1|"'NULL'"|1|"(Cintas)"||6
72|0|"ACCUTREND PLUS"||1|7|0|0|"'NULL'"|1|"(Cintas)"|0|6
73|72||"1 unid"|1|7|166|1|"'NULL'"|1|"(Cintas)"||6
74|0|"ACCUTREND TRIGLICERIDOS"||1|7|0|0|"'NULL'"|1|"(Cintas)"|0|6
75|74||"25 cintas"|1|7|169|1|"'NULL'"|1|"(Cintas)"||6
76|0|"ACEBRON 4 mg"||1|6|0|0|"'NULL'"|1|"(Acenocumarol)"|6|1
77|76||"20 comp."|1|6|1|1|"'NULL'"|1|"(Acenocumarol)"||1
78|0|"ACECNOU �sol.oral �3 Gr en sobres"||1|6|0|0|"'NULL'"|1|"(Fosfomicina)"|247|2
79|78||"1 sobre"|1|6|75|48|"'NULL'"|1|"(Fosfomicina)"||2
80|0|"ACEITE DE RICINO"||1|6|0|0|"'NULL'"|1|"(Aceite de Ricino)"|0|6
81|80||"30 ml"|1|6|35|6|"'NULL'"|1|"(Aceite De Ricino)"||6
82|0|"ACEMUK 100 mg/5 mL �jarabe"||1|6|0|0|"'NULL'"|1|"(N-Acetilciste�na )"|398|2
83|82||"100 ml"|1|6|35|6|"'NULL'"|1|"(N-Acetilciste�na )"||2
84|0|"ACEPRAN FT 0.5 mg. Bucodispersable"||1|1|0|0|"'NULL'"|1|"(Clonazepam)"|170|2
85|84||"30 comp."|1|1|1|1|"'NULL'"|1|"(Clonazepam)"||2
86|0|"ACEPRAN FT 2 mg. Bucodispersable"||1|1|0|0|"'NULL'"|1|"(Clonazepam)"|170|1
87|86||"30 comp."|1|1|1|1|"'NULL'"|1|"(Clonazepam)"||1
88|0|"ACEPRAN 2 mg"||1|1|0|0|"'NULL'"|1|"(Clonazepam)"|170|2
89|88||"30 comp."|1|1|1|1|"'NULL'"|1|"(Clonazepam)"||2
90|0|"ACEPRAN gotas 2,5mg/ml"||1|1|0|0|"'NULL'"|1|"(Clonazepam)"|170|2
91|90||"10 ml"|1|1|55|6|"'NULL'"|1|"(Clonazepam)"||2
92|0|"ACERDIL 5 mg"||1|6|0|0|"'NULL'"|1|"(Lisinopril)"|344|2
93|92||"30 comp."|1|6|1|1|"'NULL'"|1|"(Lisinopril)"||2
94|0|"ACERDIL 10 mg"||1|6|0|0|"'NULL'"|1|"(Lisinopril)"|344|2
95|94||"30 comp."|1|6|1|1|"'NULL'"|1|"(Lisinopril)"||2
96|0|"ACERDIL 20 mg"||1|6|0|0|"'NULL'"|1|"(Lisinopril)"|344|2
97|96||"30 comp."|1|6|1|1|"'NULL'"|1|"(Lisinopril)"||2
98|0|"ACERDIL D �20/12,5"||1|6|0|0|"'NULL'"|1|"(Lisinopril//Hidroclorotiazida)"|0|2
99|98||"30 comp."|1|6|1|1|"'NULL'"|1|"(Lisinopril//Hidroclorotiazida)"||2
100|0|"ACETATO DE SODIO 30%"||1|6|0|0|"'NULL'"|1|"(Sodio Acetato)"|0|6
101|100||"5 amp de 10 mI."|1|6|105|29|"'NULL'"|1|"(Sodio Acetato)"||6
102|0|"ACETAZOLAMIDA 250 mg"||1|6|0|0|"'NULL'"|1|"(Acetazolamida)"|6|1
103|102||"20 comp."|1|6|1|1|"'NULL'"|1|"(Acetazolamida)"||1
104|0|"ACEVIT"||1|6|0|0|"'NULL'"|1|"(Vitaminas A C D)"|570|2
105|104||"30 ml"|1|6|55|6|"'NULL'"|1|"(Vitaminas A C D)"||2
106|0|"ACICLOVIR 200 mg"||1|6|0|0|"'NULL'"|1|"(Aciclovir)"|7|2
107|106||"25 comp."|1|6|1|1|"'NULL'"|1|"(Aciclovir)"||2
108|0|"ACICLOVIR 400"||1|6|0|0|"'NULL'"|1|"(Aciclovir)"|7|2
109|108||"35 comp."|1|6|1|1|"'NULL'"|1|"(Aciclovir)"||2
110|0|"ACICLOVIR 5% crema �"||1|6|0|0|"'NULL'"|1|"(Aciclovir)"|7|1
111|110||"5 gr."|1|6|135|48|"'NULL'"|1|"(Aciclovir)"||1
112|110||"15 gr."|1|6|135|48|"'NULL'"|1|"(Aciclovir)"||1
113|0|"ACICLOVIR �infusi�n I.V. 250/10ml"||1|6|0|0|"'NULL'"|1|"(Aciclovir)"|7|1
114|113||"5 amp"|1|6|90|17|"'NULL'"|1|"(Aciclovir)"||1
115|0|"ACICLOVIR �infusi�n I.V. 500/20ml"||1|6|0|0|"'NULL'"|1|"(Aciclovir)"|7|1
