"id"|"cod_parent"|"nombre_examen"|"tipo_examen"|"habilitado"|"sub_tipo"|"codigo"|"algo"
4|0|"SANGRE"|1|1|0|"NULL"|"NULL"
6|4|"HEMATOLOGICOS"|2|1|1|"NULL"|"NULL"
7|4|"BIOQUIMICOS"|1|1|1|"NULL"|"NULL"
8|6|"ACIDO FOLICO O FOLATOS "|1|1|2|301002|"NULL"
9|6|"AGLUTININAS ANTI RHO "|3|1|2|301005|"NULL"
10|6|"ADENOGRAMA, MIELOGRAMA"|2|1|2|301003|"NULL"
11|6|"AGREGACION PLAQUETARIA"|4|1|2|301006|"NULL"
12|6|"ANTICOAGULANTES CIRCULANTES O ANTICOAGULANTE LUPICO "|5|1|2|301007|"NULL"
13|6|"ANTITROMBINA III "|6|1|2|301008|"NULL"
14|6|"COAGULACION, TIEMPO DE"|7|1|2|301011|"NULL"
15|6|"TIEMPO DE LISIS DEL COAGULO "|8|1|2|301013|"NULL"
16|6|"PRUEBA DE ANTIGLOBULINA"|9|1|2|301014|"NULL"
17|6|"COOMBS INDIRECTO, PRUEBA DE "|10|1|2|301015|"NULL"
18|6|"DESHIDROGENASA GLUCOSA-6-FOSFATO EN ERITROCITOS "|11|1|2|301017|"NULL"
19|6|"TIEMPO DE LISIS DE EUGLOBULINAS "|12|1|2|301020|"NULL"
20|6|"FIBRINOGENO"|13|1|2|301021|"NULL"
21|6|"TEST DE NEUTRALIZACION PLAQUETARIA "|14|1|2|301022|"NULL"
22|6|"FACTOR V "|15|1|2|301024|"NULL"
23|6|"FACTORES VII, VIII, IX, X, XI, XII, XIII"|16|1|2|301025|"NULL"
24|6|"FERRITINA"|17|1|2|301026|"NULL"
25|6|"FIBRINOGENO, PRODUCTOS DE DEGRADACION DEL "|18|1|2|301027|"NULL"
26|6|"FIERRO SERICO "|19|1|2|301028|"NULL"
27|6|"FIERRO, CAPACIDAD DE FIJACION DEL"|20|1|2|301029|"NULL"
28|6|"FIERRO, CINETICA DEL"|21|1|2|301030|"NULL"
29|6|"GRUPOS MENORES. TIPIFICACION O DET E OTROS SISTEMAS SANGUINEOS"|22|1|2|301033|"NULL"
31|6|"CLASIFICACION SANGUINEA AB0 Y RHD "|24|1|2|301034|"NULL"
32|6|"HAPTOGLOBINA CUANTITATIVA"|25|1|2|301035|"NULL"
33|6|"HEMATOCRITO"|26|1|2|301036|"NULL"
34|6|"HEMOGLOBINA EN SANGRE TOTAL"|27|1|2|301038|"NULL"
35|6|"HEMOGLOBINA FETAL CUALITATIVA "|28|1|2|301039|"NULL"
36|6|"HEMOGLOBINA FETAL CUANTITATIVA EN ERITROCITOS"|29|1|2|301040|"NULL"
37|6|"HEMOGLOBINA GLICADA A1C "|30|1|2|301041|"NULL"
38|6|"HEMOGLOBINA PLASMATICA "|31|1|2|301042|"NULL"
39|6|"ELECTROFORESIS DE HEMOGLOBINA"|32|1|2|301044|"NULL"
40|6|"HEMOGRAMA"|33|1|2|301045|"NULL"
41|6|"HEMOSIDERINA MEDULAR "|34|1|2|301048|"NULL"
42|6|"CUANTIFICACION DE HEPARINA"|35|1|2|301049|"NULL"
43|6|"ISOINMUNIZACION, DETECCION DE ANTICUERPOS IRREGULARES"|36|1|2|301050|"NULL"
44|6|"IDENTIFICACION DE ANTICUERPOS IRREGULARES ERITROCITARIOS"|37|1|2|301051|"NULL"
45|6|"METAHEMOGLOBINA"|38|1|2|301054|"NULL"
46|6|"TIEMPO DE PROTROMBINA"|39|1|2|301059|"NULL"
47|6|"RECUENTO DE BASOFILOS"|40|1|2|301062|"NULL"
48|6|"RECUENTO DE EOSINOFILOS"|41|1|2|301063|"NULL"
49|6|"RECUENTO DE ERITROCITOS"|42|1|2|301064|"NULL"
50|6|"RECUENTO DE LEUCOCITOS"|43|1|2|301065|"NULL"
51|6|"RECUENTO DE LINFOCITOS"|44|1|2|301066|"NULL"
52|6|"RECUENTO DE PLAQUETAS"|45|1|2|301067|"NULL"
53|6|"RECUENTO DE RETICULOCITOS"|46|1|2|301068|"NULL"
54|6|"RESISTENCIA GLOBULAR OSMOTICA"|47|1|2|301070|"NULL"
55|6|"TIEMPO DE SANGRIA"|48|1|2|301072|"NULL"
56|6|"TRANSFERRINA "|49|1|2|301082|"NULL"
57|6|"TROMBINA, TIEMPO DE "|50|1|2|301083|"NULL"
58|6|"TROMBOPLASTINA, TIEMPO PARCIAL DE"|51|1|2|301085|"NULL"
59|6|"VELOCIDAD DE ERITROSEDIMENTACION"|52|1|2|301086|"NULL"
60|6|"FACTOR VON WILLEBRAND ANTIGENICO"|53|1|2|301089|"NULL"
61|6|"PROTEINA C "|54|1|2|301091|"NULL"
62|6|"PROTEINA S "|55|1|2|301092|"NULL"
63|6|"RESISTENCIA A LA PROTEINA C ACTIVADA "|56|1|2|301093|"NULL"
66|7|"CUERPOS CETONICOS EN SANGRE"|1|1|2|302001|"NULL"
67|7|"ACIDO CITRICO"|2|1|2|302002|"NULL"
68|7|"LACTATO EN SANGRE "|3|1|2|302004|"NULL"
69|7|"ACIDO URICO, EN SANGRE "|4|1|2|302005|"NULL"
70|7|"AMILASA, EN SANGRE "|5|1|2|302008|"NULL"
71|7|"AMINOACIDOS, CUALITATIVO EN SANGRE "|6|1|2|302009|"NULL"
72|7|"AMONIO "|7|1|2|302010|"NULL"
73|7|"APOLIPOPROTEINAS (AI.B U OTRAS) "|8|1|2|302070|"NULL"
74|7|"BICARBONATO (PROC.AUT.) "|9|1|2|302011|"NULL"
75|7|"BILIRRUBINA TOTAL"|10|1|2|302012|"NULL"
76|7|"BILIRRUBINA TOTAL Y CONJUGADA"|11|1|2|302013|"NULL"
77|7|"CALCIO EN SANGRE "|12|1|2|302015|"NULL"
78|7|"CAROTENO "|13|1|2|302017|"NULL"
79|7|"CAROTENO, PRUEBA DE SOBRECARGA"|14|1|2|302018|"NULL"
80|7|"CERULOPLASMINA "|15|1|2|302019|"NULL"
81|7|"COBRE EN SANGRE "|16|1|2|302020|"NULL"
82|7|"COLESTEROL TOTAL"|17|1|2|302067|"NULL"
83|7|"COLESTEROL HDL"|18|1|2|302068|"NULL"
84|7|"COLINESTERASA EN SUERO O PLASMA "|19|1|2|302021|"NULL"
85|7|"CREATININA EN SANGRE"|20|1|2|302023|"NULL"
86|7|"CLEARANCE DE CREATININA"|21|1|2|302024|"NULL"
87|7|"CREATINQUINASA CK - MB MIOCARDICA"|22|1|2|302025|"NULL"
88|7|"CREATINQUINASA CK - TOTAL "|23|1|2|302026|"NULL"
89|7|"TROPONINA"|24|1|2|302027|"NULL"
90|7|"DESHIDROGENASA LACTICA TOTAL (LDH)"|25|1|2|302030|"NULL"
91|7|"ELECTROLITOS PLASMATICOS"|26|1|2|302032|"NULL"
92|7|"ENZIMA CONVERTIDORA DE ANGIOTENSINA I "|27|1|2|302033|"NULL"
93|7|"PERFIL LIPIDICO "|28|1|2|302034|"NULL"
94|7|"FARMACOS Y/O DROGAS; NIVELES PLASMATICOS"|29|1|2|302035|"NULL"
95|7|"FENILALANINA "|30|1|2|302036|"NULL"
96|7|"FOSFATASAS ALCALINAS CON SEPARACION DE"|31|1|2|302039|"NULL"
97|7|"FOSFATASAS ALCALINAS TOTALES "|32|1|2|302040|"NULL"
98|7|"FOSFORO (FOSFATOS) EN SANGRE "|33|1|2|302042|"NULL"
99|7|"GALACTOSA"|34|1|2|302043|"NULL"
100|7|"GAMMA GLUTAMILTRANSPEPTIDASA (GGT) "|35|1|2|302045|"NULL"
101|7|"GASES Y EQUILIBRIO ACIDO BASE EN SANGRE"|36|1|2|302046|"NULL"
102|7|"GLUCOSA EN SANGRE "|37|1|2|302047|"NULL"
