"cod_prod"|"cod_parent"|"nombre"|"present"|"cont-rec"|"tipo_cont"|"dosis"|"cant_comp"|"cod_isp"|"vigencia"|"droga"|"grupo"|"temp"||||
"1"|"0"|"1er SHAMPOO Shampoo"||1|7|0|0|"'NULL'"|1|"(Sin Información)"|"Sin Info"|6||||
"2"|"1"||"200 ml"|1|7|135|6|"'NULL'"|1|"(Sin Información)"||6||||
"3"|"0"|"1era LECHE HIDRATANTE"||1|7|0|0|"'NULL'"|1|"(Sin Información)"|"Sin Info"|6||||
"4"|"3"||"400 ml"|1|7|135|6|"'NULL'"|1|"(Sin Información)"||6||||
"5"|"0"|"3-A OFTENO sol. oftálmica"||1|6|0|0|"'NULL'"|1|"(Diclofenaco Sódico)"|145|2||||
"6"|"5"||"5 ml  (1 mg/ml)"|1|6|142|6|"'NULL'"|1|"(Diclofenaco Sódico)"||2||||
"7"|"0"|"AB"||1|7|0|0|"'NULL'"|1|"(Clorhexidina)"|186|1||||
"8"|"7"||"12 comp."|1|7|1|1|"'NULL'"|1|"(Clorhexidina)"||1||||
"9"|"0"|"AB ANTITUSIVO"||1|7|0|0|"'NULL'"|1|"(Clorhexidina//Noscapina)"|0|1||||
"10"|"9"||"12 comp."|1|7|1|1|"'NULL'"|1|"(Clorhexidina//Noscapina)"||1||||
"11"|"0"|"ABACTEN jarabe"||1|6|0|0|"'NULL'"|1|"(Azitromicina)"|78|1||||
"12"|"11"||"15 ml"|1|6|35|6|"'NULL'"|1|"(Azitromicina)"||1||||
"13"|"11"||"30 ml"|1|6|35|6|"'NULL'"|1|"(Azitromicina)"||1||||
"14"|"0"|"ABACTEN FORTE jarabe"||1|6|0|0|"'NULL'"|1|"(Azitromicina)"|78|1||||
"15"|"14"||"20 ml"|1|6|35|6|"'NULL'"|1|"(Azitromicina)"||1||||
"16"|"14"||"40 ml"|1|6|35|6|"'NULL'"|1|"(Azitromicina)"||1||||
"17"|"0"|"ACICLOVIR  3%  ung. oftálmico"||1|6|0|0|"'NULL'"|1|"(Aciclovir)"|7|3||||
"18"|"17"||"3.5 gr"|1|6|150|1|"'NULL'"|1|"(Aciclovir)"||3||||
"19"|"0"|"ABECIDIN A C D"||1|6|0|0|"'NULL'"|1|"(Vitaminas A C D)"|570|1||||
"20"|"19"||"30 ml"|1|6|55|6|"'NULL'"|1|"(Vitaminas A C D)"||1||||
"21"|"0"|"ABETAL ODT 40 mg comp."||1|6|0|0|"'NULL'"|1|"(Eletriptan)"|176|2||||
"22"|"21"||"2 comp."|1|6|1|1|"'NULL'"|1|"(Eletriptán)"||2||||
"23"|"21"||"6 comp."|1|6|1|1|"'NULL'"|1|"(Eletriptán)"||2||||
"24"|"0"|"MIGTAL 2.5 mg comp."||1|6|0|0|"'NULL'"|1|"(Naratriptán)"|0|3||||
"25"|"24"||"2 comp."|1|6|1|1|"'NULL'"|1|"(Naratriptán)"||3||||
"26"|"24"||"6 comp."|1|6|1|1|"'NULL'"|1|"(Naratriptán)"||3||||
