B150|HEPATITIS AGUDA TIPO A, SIN COMA HEPATICO
B159|HEPATITIS AGUDA TIPO A, CON COMA HEPATICO
B160|HEPATITIS AGUDA TIPO B, CON AGENTE DELTA (COINFECCION). CON COMA HEPATICO
B161|HEPATITIS AGUDA TIPO B, CON AGENTE DELTA (COINFECCION), SIN COMA HEPATICO
B162|HEPATITIS AGUDA TIPO B, SIN AGENTE DELTA, CON COMA HEPATICO
B169|HEPATITIS AGUDA TIPO B, SIN AGENTE DELTA Y SIN COMA HEPATICO
B170|INFECCION (SUPERINFECCION) AGUDA POR AGENTE DELTA EN EL PORTADOR DE HEPATITIS B
B171|HEPATITIS AGUDA TIPO C
B172|HEPATITIS AGUDA TIPO E
B178|OTRAS HEPATITIS VIRALES AGUDAS ESPECIFICADAS
B180|HEPATITIS VIRAL TIPO B CRONICA, CON AGENTE DELTA
B181|HEPATITIS VIRAL TIPO B CRONICA, SIN AGENTE DELTA
B182|HEPATITIS VIRAL TIPO C CRONICA
B188|OTRAS HEPATITIS VIRALES CRONICAS
B189|HEPATITIS VIRAL CRONICA, SIN OTRA ESPECIFICACION
B200|ENFERMEDAD POR EL VIH, RESULTANTE EN INFECCION POR MICOBACTERIAS
B201|ENFERMEDAD POR EL VIH, RESULTANTE EN OTRAS INFECCIONES BACTERIANAS
B202|ENFERMEDAD POR VIH, RESULTANTE EN ENFERMEDAD POR CITOMEGALOVIRUS
B203|ENFERMEDAD POR VIH, RESULTANTE EN OTRAS INFECCIONES VIRALES
B204|ENFERMEDAD POR VIH, RESULTANTE EN CANDIDIASIS
B205|ENFERMEDAD POR VIH, RESULTANTE EN OTRAS MICOSIS
B206|ENFERMEDAD POR VIH, RESULTANTE EN NEUMONIA POR PNEUMOCYSTIS CARINII
B207|ENFERMEDAD POR VIH, RESULTANTE EN INFECCIONES MULTIPLES
B208|ENFERMEDAD POR VIH, RESULTANTE EN OTRAS ENFERMEDADES INFECCIOSAS O PARASITARIAS
B209|ENFERMEDAD POR VIH, RESULTANTE EN ENFERMEDAD INFECCIOSA O PARASITARIA NO ESPECIFICADA
B210|ENFERMEDAD POR VIH, RESULTANTE EN SARCOMA DE KAPOSI
B211|ENFERMEDAD POR VIH, RESULTANTE EN LINFOMA DE BURKITT
B212|ENFERMEDAD POR VIH, RESULTANTE EN OTROS TIPOS DE LINFOMA NO HODGKIN
B213|ENFERMEDAD POR VIH, RESULTANTE EN OTROS TUMORES MALIGNOS DEL TEJIDO LINFOIDE, HEMATOPOYETICO Y TEJIDOS RELACIONADOS
B217|ENFERMEDAD POR VIH, RESULTANTE EN TUMORES MALIGNOS MULTIPLES
B218|ENFERMEDAD POR VIH, RESULTANTE EN OTROS TUMORES MALIGNOS
B219|ENFERMEDAD POR VIH, RESULTANTE EN TUMORES MALIGNOS NO ESPECIFICADOS
B220|ENFERMEDAD POR VIH, RESULTANTE EN ENCEFALOPATIA
B221|ENFERMEDAD POR VIH, RESULTANTE EN NEUMONITIS LINFOIDE INTERSTICIAL
B222|ENFERMEDAD POR VIH, RESULTANTE EN SINDROME CAQUECTICO
B227|ENFERMEDAD POR VIH, RESULTANTE EN ENFERMEDADES MULTIPLES CLASIFICADAS EN OTRA PARTE
B230|SINDROME DE INFECCION AGUDA DEBIDA A VIH
B231|ENFERMEDAD POR VIH, RESULTANTE EN LINFADENOPATIA GENERALIZADA (PERSISTENTE)
B232|ENFERMEDAD POR VIH, RESULTANTE EN ANORMALIDADES INMUNOLOGICAS Y HEMATOLOGICAS, NO CLASIFICADAS EN OTRA PARTE
B238|ENFERMEDAD POR VIH, RESULTANTE EN OTRAS AFECCIONES ESPECIFICADAS
B24|ENFERMEDAD POR VIRUS DE LA INMUNODEFICIENCIA HUMANA (VIH), SIN OTRA ESPECIFICACION
B250†|NEUMONITIS DEBIDA A VIRUS CITOMEGALICO (J17.1*)
B251†|HEPATITIS DEBIDA A VIRUS CITOMEGALICO
B252†|PANCREATITIS DEBIDA A VIRUS CITOMEGALICO
B258|OTRAS ENFERMEDADES DEBIDAS A VIRUS CITOMEGALICO
B259|ENFERMEDAD POR VIRUS CITOMEGALICO, NO ESPECIFICADA
B260†|ORQUITIS POR PAROTIDITIS (N51.1*)
B261†|MENINGITIS POR PAROTIDITIS (G02.0*)
B262†|ENCEFALITIS POR PAROTIDITIS (G05.1*)
B263†|PANCREATITIS POR PAROTIDITIS (K87.1*)
B268|PAROTIDITIS INFECCIOSA CON OTRAS COMPLICACIONES
B269|PAROTIDITIS, SIN COMPLICACIONES
B270|MONONUCLEOSIS DEBIDA A HERPES VIRUS GAMMA
B271|MONONUCLEOSIS POR CITOMEGALOVIRUS
B278|OTRAS MONONUCLEOSIS INFECCIOSAS
